sales_key,order_id,order_item_id,customer_key,product_key,seller_key,order_date_key,delivery_date_key,price,freight_value,total_item_value,payment_value,payment_type,payment_installments,delivery_days,is_late_delivery,order_status,batch_id,created_at
30,bcb25c3cbc2d4135becc276dddd634a2,1,144,80,28,20200311,20200420.0,1863.47,37.6,1901.07,4015.2,boleto,1.0,40.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
31,24ce78ee54ae4ad1909581275584c7b8,1,453,299,58,20230208,20230323.0,1682.15,38.21,1720.36,13263.7,debit_card,1.0,43.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
32,d03daa47f9b2435b928270148b911921,1,877,54,72,20170531,20170612.0,680.55,20.0,700.55,21593.9,voucher,1.0,12.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
33,1a2634453255469996153ab592bceb3f,1,492,63,69,20190907,20190916.0,1802.13,17.75,1819.88,8185.4,boleto,1.0,9.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
34,af124bff58e64e26a94eedbe6239cdc1,1,435,322,61,20180915,,1238.49,18.35,1256.84,16819.65,debit_card,1.0,,False,canceled,FULL_RUN,2026-07-17 07:12:14.994312
35,98463daa6e5144f4aac86dabbf51ccd7,1,865,130,15,20170601,20170704.0,1966.69,69.93,2036.62,12177.8,debit_card,1.0,33.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
36,7c68c9cfe3344d3bae5c3840395bc544,1,65,387,6,20241202,20241230.0,1891.08,91.19,1982.27,15476.65,boleto,1.0,28.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
37,2448f1138578448ba71c421ab667be07,1,501,90,99,20170414,20170525.0,1761.06,48.86,1809.92,5568.0,credit_card,7.0,41.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
38,fb7f05659b3c4db3a382dac233b53e2e,1,162,477,57,20210703,20210728.0,1174.42,98.81,1273.23,10606.6,credit_card,10.0,25.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
39,5f57eb4b7fee47cbb7fd0e8e3541384b,1,936,497,63,20180525,,1145.96,46.39,1192.35,2610.95,credit_card,11.0,,False,canceled,FULL_RUN,2026-07-17 07:12:14.994312
40,ccc80f44045e43d89b7e302ec9c1242b,1,665,46,48,20190105,,1345.16,36.35,1381.51,,,,,False,shipped,FULL_RUN,2026-07-17 07:12:14.994312
41,d7fca497982b4ae9a72782bdf235197f,1,538,204,20,20200130,20200306.0,358.58,63.53,422.11,,,,36.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
42,3f61d85a79bb4614b620e91fc660f207,1,297,103,82,20200919,20201015.0,1985.83,79.72,2065.55,,,,26.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
43,f2646d5286b14d03abb035502fe7e9cd,1,50,45,46,20180806,,588.24,79.9,668.14,12624.45,debit_card,1.0,,False,shipped,FULL_RUN,2026-07-17 07:12:14.994312
44,4b0e82af6dcc49e182f179171a3a82f9,1,434,457,76,20220622,,1967.22,50.99,2018.21,13843.8,credit_card,9.0,,False,processing,FULL_RUN,2026-07-17 07:12:14.994312
45,de76837348d743d5b1eb6df7143cbe1d,1,425,101,66,20170612,,1983.45,38.43,2021.88,6451.7,boleto,1.0,,False,shipped,FULL_RUN,2026-07-17 07:12:14.994312
46,f099babf44dc4fe097fb7057ad31cae0,1,427,252,41,20190117,20190123.0,1964.16,90.72,2054.88,,,,6.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
47,18828b2aba7c40d1b8d5674db9f59264,1,730,159,34,20220217,20220227.0,337.93,65.99,403.92,,,,10.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
48,6578257656d245ee8871be584477bf65,1,488,384,98,20200223,20200313.0,1992.33,35.74,2028.07,222.3,voucher,1.0,19.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
49,6f89e6ebb30947479d2144e7fbbd8de4,1,902,19,17,20171003,20171015.0,918.88,10.78,929.66,17811.2,credit_card,8.0,12.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
50,0dce2b2a0c704886b5ddb69fd0e29a61,1,677,294,3,20200904,20201012.0,1956.61,63.54,2020.15,8892.85,credit_card,7.0,38.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
51,9af97aecb1354bfba3693a7f3be0a836,1,234,201,5,20180913,20181013.0,764.44,90.74,855.18,7573.1,boleto,1.0,30.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
52,fb912528a7f846da996332bc95a376ec,1,747,190,66,20231221,20240121.0,1345.45,70.6,1416.05,18077.3,debit_card,1.0,31.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
53,1a43431180e2428a90a084f4a64c72ed,1,781,178,17,20190501,20190519.0,1987.34,44.18,2031.52,,,,18.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
54,1a2ae68a4334497e8b36be89b93461ac,1,218,46,86,20230427,,171.2,46.64,217.84,11281.9,voucher,1.0,,False,canceled,FULL_RUN,2026-07-17 07:12:14.994312
55,dce4706e4ca649c0b5b734b23a85c64e,1,430,14,17,20190921,20191005.0,640.63,52.35,692.98,23916.95,debit_card,1.0,14.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
56,bca5614b3aa04fceadaa6baf5ff97743,1,56,194,9,20210704,,1525.32,26.57,1551.89,18554.25,credit_card,6.0,,False,processing,FULL_RUN,2026-07-17 07:12:14.994312
57,38cf9749b0f140b3a23d22d3940d4fcb,1,288,443,10,20170512,20170621.0,1145.96,25.98,1171.94,18578.9,debit_card,1.0,40.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
58,3900b9491d6a44a9abf2dcc7b394f26a,1,557,446,80,20220701,20220809.0,1447.6,74.44,1522.04,,,,39.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
59,3b84e32445cd470e9efbe794ab2c46f4,1,438,497,59,20231014,,316.71,63.73,380.44,18089.25,voucher,1.0,,False,shipped,FULL_RUN,2026-07-17 07:12:14.994312
60,45fbd86eef044fb69c936b3470553692,1,874,314,16,20220507,,1747.44,79.25,1826.69,16279.15,debit_card,1.0,,False,shipped,FULL_RUN,2026-07-17 07:12:14.994312
61,f3d7f71a69364aee9bf8a6f3bf78afdf,1,433,475,11,20200601,20200703.0,1409.77,22.35,1432.12,20738.75,voucher,1.0,32.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
62,46ae00f41b4b4eec8489c12b67107af0,1,474,224,88,20200125,20200209.0,187.95,95.29,283.24,,,,15.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
63,6be0152382284df8b3b18841154d7aef,1,447,167,81,20200625,20200730.0,424.39,72.55,496.94,21257.3,debit_card,1.0,35.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
64,7cdec134ee4f4c7ebab89ba842ac39ba,1,86,255,78,20170629,20170717.0,389.31,82.3,471.61,,,,18.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
65,aa8288da9538452b986522181d4adfef,1,384,304,8,20201004,,376.2,30.94,407.14,7889.95,voucher,1.0,,False,shipped,FULL_RUN,2026-07-17 07:12:14.994312
66,579e9caf84b745c79159f2d8b98b5f57,1,27,499,26,20210704,,373.93,3.61,377.54,3481.75,boleto,1.0,,False,canceled,FULL_RUN,2026-07-17 07:12:14.994312
67,014bcb3dfa854406b6ea82043c668210,1,818,359,16,20230327,,292.07,55.57,347.64,23230.45,boleto,1.0,,False,processing,FULL_RUN,2026-07-17 07:12:14.994312
68,1ae1ba13754c41a99f6a507d94e1202f,1,975,167,97,20230317,20230404.0,1524.52,21.26,1545.78,,,,18.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
69,bd615358256f4ac7af52353fa40d4f7b,1,321,154,77,20211109,,329.04,64.62,393.66,,,,,False,canceled,FULL_RUN,2026-07-17 07:12:14.994312
70,258c12878abe431eb6e853bc5834c986,1,983,131,45,20230521,,1015.78,30.68,1046.46,,,,,False,shipped,FULL_RUN,2026-07-17 07:12:14.994312
71,f9090de44578457c84901ceef0bdbe07,1,557,496,88,20240125,20240307.0,485.34,3.68,489.02,21625.95,debit_card,1.0,42.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
72,59fd9f72eae645c38c9652b39cb1cd94,1,719,35,64,20220310,,566.49,18.64,585.13,1219.4,debit_card,1.0,,False,invoiced,FULL_RUN,2026-07-17 07:12:14.994312
73,952d62476ddc41bfa51146dbb7d68e94,1,762,419,56,20190302,20190306.0,1805.87,8.86,1814.73,19320.3,debit_card,1.0,4.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
74,c8d1e63fd64b4af19989f009a0410a01,1,463,9,96,20171222,20180110.0,1349.7,90.17,1439.87,1074.55,voucher,1.0,19.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
75,3a277c60b163435f8a2cf5c70e8e3bf9,1,802,358,88,20171018,20171027.0,181.02,60.05,241.07,4163.15,voucher,1.0,9.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
76,b6dc09be1aef4badb6d1b6c35d714d15,1,252,373,41,20200814,20200829.0,1358.0,9.39,1367.39,,,,15.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
77,a5ebc251576f4d0ba2bcf7a58ca20952,1,387,257,39,20170922,,719.43,81.66,801.09,9654.4,boleto,1.0,,False,invoiced,FULL_RUN,2026-07-17 07:12:14.994312
78,f4c7205751704d0c96f0caa5ceb9dd1a,1,314,100,30,20200310,20200420.0,980.73,55.95,1036.68,,,,41.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
79,6f8a40382d1246e19334a850d8a39768,1,326,241,60,20221027,,345.25,70.01,415.26,16206.6,boleto,1.0,,False,shipped,FULL_RUN,2026-07-17 07:12:14.994312
80,05ee02a888674b4884b6d4482443d890,1,755,240,60,20230125,20230311.0,1847.27,85.11,1932.38,21876.7,voucher,1.0,45.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
81,89af2fde9e5a441195d0459f8cf99e0f,1,607,217,4,20180402,20180426.0,309.61,74.57,384.18,19268.4,debit_card,1.0,24.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
82,f54819342dcc47fba133034c58d6373f,1,906,324,20,20210119,,283.17,33.72,316.89,20507.3,credit_card,3.0,,False,processing,FULL_RUN,2026-07-17 07:12:14.994312
83,dcef9bc11a5f42e0888b9be7d4365fed,1,785,339,23,20210219,20210228.0,734.59,45.13,779.72,22957.55,credit_card,2.0,9.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
84,5df5d5da58f346c69ed9e1e2a2576027,1,767,11,51,20230703,20230801.0,1187.91,20.84,1208.75,18920.3,voucher,1.0,29.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
85,cb103e4cd4a24c94845237fdf86b76d2,1,968,256,51,20210129,20210212.0,304.05,35.72,339.77,,,,14.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
86,8154d10a4f44492e9975646695472d4e,1,830,145,30,20211010,20211108.0,610.53,95.65,706.18,15530.2,voucher,1.0,29.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
87,59c43232349b4540b88646bbba6efdac,1,838,225,21,20191123,20191227.0,975.64,73.2,1048.84,1336.8,debit_card,1.0,34.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
88,24d1eb21e4b34cf8aee554ec5ac51ce6,1,749,37,42,20240213,,1938.35,8.8,1947.15,12827.3,credit_card,9.0,,False,canceled,FULL_RUN,2026-07-17 07:12:14.994312
89,ac9cec034d3646a9b853a5fa59ea9d67,1,622,267,64,20180810,,956.02,31.06,987.08,,,,,False,canceled,FULL_RUN,2026-07-17 07:12:14.994312
754,85a7a0b5531147afb65ed6f6b2b57f33,1,512,301,68,20200605,,1608.79,58.09,1666.88,,,,,False,canceled,FULL_RUN,2026-07-17 07:12:14.994312
90,64e710eebcaa428088d79ca209d45863,1,319,324,21,20190107,20190120.0,436.73,50.58,487.31,18496.95,voucher,1.0,13.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
91,73c9516fd6504aaa8b41685890ee82dd,1,900,314,16,20180727,20180904.0,1262.77,69.35,1332.12,8035.5,credit_card,11.0,39.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
92,f329a3a2ec7d42cfb40c82c4aa9eddbe,1,31,194,89,20191109,20191124.0,263.21,30.34,293.55,24297.4,boleto,1.0,15.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
93,beafef862ce84796b5af541ef684c285,1,957,35,3,20200109,20200128.0,260.63,57.84,318.47,4737.4,boleto,1.0,19.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
94,88637f3b2ddb42edb2bf7be670f5c1ee,1,918,353,30,20240719,20240821.0,743.17,26.87,770.04,1141.0,boleto,1.0,33.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
95,41d54ec41fdd49c3a6038c046df226ad,1,232,498,61,20181110,20181224.0,1744.39,33.32,1777.71,20537.8,voucher,1.0,44.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
96,a3a169dbf33a465f8be1dffcf9cb402d,1,973,172,90,20220116,20220130.0,564.66,36.05,600.71,12416.45,credit_card,10.0,14.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
97,42a494de916a4eb78ad4d916e503691a,1,289,324,74,20170222,,1804.2,96.65,1900.85,19854.2,boleto,1.0,,False,canceled,FULL_RUN,2026-07-17 07:12:14.994312
98,a8dcf7074e1f479b98dcded5e305af9f,1,123,124,32,20230525,20230603.0,1823.2,71.69,1894.89,23604.2,voucher,1.0,9.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
99,3c89da157c4d4ffe9b94f1da42f6e731,1,986,263,13,20230320,,1128.78,89.38,1218.16,9132.15,credit_card,3.0,,False,shipped,FULL_RUN,2026-07-17 07:12:14.994312
100,e3adad20240f4e91b6aa73a8b596d3c1,1,349,272,63,20220404,,1501.63,63.49,1565.12,19081.7,voucher,1.0,,False,shipped,FULL_RUN,2026-07-17 07:12:14.994312
101,b65aea3bdcce49dd97e9ee8358c31dcf,1,974,139,9,20230616,20230628.0,1207.19,89.42,1296.61,8676.35,credit_card,3.0,12.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
102,7641e13d472040f18cdef8521f7e1189,1,811,129,29,20170616,,730.75,78.44,809.19,13827.25,voucher,1.0,,False,invoiced,FULL_RUN,2026-07-17 07:12:14.994312
103,4943507419bb48daa47f247596bfbd73,1,780,250,72,20171112,,11.09,37.55,48.64,21511.45,credit_card,10.0,,False,created,FULL_RUN,2026-07-17 07:12:14.994312
104,6357b6218f0746dbaf2c7656af6728ca,1,735,163,78,20241004,20241114.0,1568.45,95.8,1664.25,,,,41.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
105,b35727e5c59c4c69bec3f26f703e9ea9,1,674,99,77,20200903,,1074.94,82.94,1157.88,21574.25,debit_card,1.0,,False,processing,FULL_RUN,2026-07-17 07:12:14.994312
106,ce5b0cc5d1284735bc4e844459e04a1a,1,31,454,25,20221213,,245.12,74.14,319.26,22222.4,voucher,1.0,,False,canceled,FULL_RUN,2026-07-17 07:12:14.994312
107,1d1e062af5c346a18836a4525e143ee6,1,889,195,55,20191115,20191222.0,1598.7,30.4,1629.1,22361.4,voucher,1.0,37.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
108,5c137f6f95d743a99ca9159d2281558d,1,284,107,19,20210801,20210910.0,1638.08,4.06,1642.14,,,,40.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
109,78820e8ffe7746cfbbbfd70c36726fc3,1,441,218,11,20220825,20220901.0,55.44,66.21,121.65,,,,7.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
110,2cf95185cec04136aed4304f4c2a601d,1,179,231,81,20181215,20190103.0,932.55,91.25,1023.8,,,,19.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
111,95538fd3fd5c4460b27620ee4516f015,1,414,163,14,20200229,,1112.75,60.6,1173.35,,,,,False,shipped,FULL_RUN,2026-07-17 07:12:14.994312
112,9f071543334b4828bd54a4d28645ac00,1,766,311,59,20210625,20210804.0,550.74,29.77,580.51,,,,40.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
113,c9841a0160b047ebb5cb98b99fe2f8e4,1,215,66,7,20180404,20180419.0,329.99,15.47,345.46,15016.15,voucher,1.0,15.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
114,1d6798b1a9f74ffca876cab04a5159d1,1,877,164,93,20190531,20190706.0,656.44,49.28,705.72,10298.4,debit_card,1.0,36.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
115,2fdd741f47a14dca8d251c6d8b94d32a,1,411,168,51,20220720,20220810.0,1102.5,64.0,1166.5,24619.1,debit_card,1.0,21.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
116,271533a13d5345b4bb8f4d99780a4cfc,1,819,330,37,20200402,20200518.0,656.59,84.1,740.69,,,,46.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
117,8210602800274ed7b4603ccd159def94,1,922,263,8,20231230,20240127.0,1133.41,58.15,1191.56,,,,28.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
118,045432043cd24d45a0f9d812f55abe75,1,904,475,9,20180810,,1435.95,15.79,1451.74,17231.25,voucher,1.0,,False,shipped,FULL_RUN,2026-07-17 07:12:14.994312
119,03ac5d1e7169477e8bcfec4b2036b814,1,819,123,12,20180312,20180415.0,307.38,53.71,361.09,17813.3,credit_card,4.0,34.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
120,60986034c5ce47368093993966040705,1,321,214,44,20230423,20230531.0,723.83,37.64,761.47,16998.1,debit_card,1.0,38.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
121,ebaa10f4baa3410fbfdf2ab925a13d51,1,999,270,54,20180320,20180407.0,143.81,41.85,185.66,20189.5,boleto,1.0,18.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
122,9f93ad1bcdce4e42be4d08bb7a53c43b,1,511,422,12,20201122,20201202.0,1580.51,70.37,1650.88,23700.6,voucher,1.0,10.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
123,9195d226864f48ea91bf9bfc628c6a83,1,742,467,34,20210307,20210319.0,418.47,18.43,436.9,13633.3,credit_card,9.0,12.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
124,d24c531d17d94d2bb633610d1f79bbdf,1,517,15,7,20201123,20210106.0,482.33,65.54,547.87,,,,44.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
125,6350f41233cd4cf7bdab117105de69db,1,167,24,29,20200401,20200510.0,1686.57,24.88,1711.45,20137.1,credit_card,6.0,39.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
126,25aa93d1cc9e41da926000df61c88147,1,331,73,65,20240803,,469.17,17.81,486.98,3470.8,debit_card,1.0,,False,unavailable,FULL_RUN,2026-07-17 07:12:14.994312
127,d4a51748bf5a45ccb7a593e4cbf225c2,1,313,205,3,20221112,20221122.0,649.29,76.33,725.62,,,,10.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
128,e182df0f4b424aaba69a2c1b8226267f,1,115,366,90,20210129,,1532.25,50.75,1583.0,2618.9,boleto,1.0,,False,processing,FULL_RUN,2026-07-17 07:12:14.994312
129,16a78474cdfc473aa7d81825c3aef573,1,14,21,27,20190811,20190921.0,1102.31,6.89,1109.2,14624.7,debit_card,1.0,41.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
130,a0c63e8842774654a341d5e5e87746df,1,546,44,75,20220330,,1167.56,3.69,1171.25,24916.2,credit_card,7.0,,False,processing,FULL_RUN,2026-07-17 07:12:14.994312
131,e788a3a8a94b446780d71a7d2f60549d,1,194,206,28,20230611,20230720.0,739.4,90.16,829.56,,,,39.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
132,aed82a60a1db4600adba6160cf096930,1,76,319,37,20210817,20210913.0,1074.78,91.77,1166.55,,,,27.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
133,6b825507b1804435a2a224fff9bf667e,1,209,428,26,20180830,20180924.0,1114.74,52.56,1167.3,,,,25.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
134,8acf3cf4f9d54d81a94f60dfd8e11433,1,275,460,34,20230505,20230604.0,1217.2,35.45,1252.65,17799.4,voucher,1.0,30.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
135,ccdb6c8a33c443798a185133f8b0e6ac,1,318,231,78,20190426,,242.74,30.68,273.42,15761.8,debit_card,1.0,,False,invoiced,FULL_RUN,2026-07-17 07:12:14.994312
136,52f27d8b57fe413588bfbff7f3a4a427,1,426,107,24,20210804,,1304.56,52.65,1357.21,17909.4,boleto,1.0,,False,invoiced,FULL_RUN,2026-07-17 07:12:14.994312
137,4beeaa7cc5444a40b0a294a29ed33d49,1,294,478,27,20240512,20240623.0,88.11,81.05,169.16,,,,42.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
138,eb70da26117a49c9b428aec194f60305,1,111,427,89,20211102,,1520.72,74.36,1595.08,14390.15,debit_card,1.0,,False,shipped,FULL_RUN,2026-07-17 07:12:14.994312
139,36bf8e112d7d48a8985e4b5f4b710ca3,1,438,187,60,20230408,20230415.0,432.61,60.55,493.16,9832.05,boleto,1.0,7.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
140,66b32ab242934b22a93e0bddc4a1f644,1,463,453,33,20241124,20241230.0,1297.42,25.29,1322.71,1913.85,debit_card,1.0,36.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
141,51cd98d27b97436697607e3d3d651805,1,442,425,24,20240524,20240606.0,1024.64,33.06,1057.7,3778.75,voucher,1.0,13.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
